contrast,n,estimate,ci_low,ci_high,t,df,p,cohens_dz,p_holm,p_bonferroni
Editor − Ghost-writer,21,0.3809523809523809,-0.35660281085392836,1.1185075727586902,1.0774146133653038,20,0.29411959391421777,0.23511114383800405,0.29411959391421777,0.5882391878284355
Editor − Thought Partner,21,-0.6984126984126983,-1.3935761604261345,-0.003249236399262001,-2.0957133675806574,20,0.049036058073053876,-0.4573221496128178,0.09807211614610775,0.09807211614610775
Thought Partner − Ghost-writer  [exploratory],21,1.079365079365079,0.5138628009535102,1.644867357776648,3.981444792998932,20,0.0007347159163061394,0.8688224828193045,,
