contrast,n,estimate,ci_low,ci_high,t,df,p,cohens_dz,p_holm,p_bonferroni
Genuine thoughts & feelings: TP−GW,21,0.6666666666666666,-0.12612142007587346,1.4594547534092066,1.7541160386140582,20,0.09472208113682193,0.3827795011754763,0.09472208113682193,0.5683324868209316
Genuine thoughts & feelings: ED−GW,21,0.7619047619047619,0.24480773039084247,1.2790017934186813,3.073515001581194,20,0.005993951396799169,0.6706959592537209,0.011987902793598338,0.03596370838079502
Authentic voice: TP−GW,21,1.7142857142857142,0.8855958652881768,2.5429755632832514,4.315169713368457,20,0.00033671816594692006,0.9416472308615167,0.0016835908297346003,0.0020203089956815205
Authentic voice: ED−GW,21,1.380952380952381,0.626424476498963,2.135480285405799,3.8177729041951847,20,0.0010769192629224654,0.8331063485536105,0.004307677051689862,0.006461515577534793
Stand behind message: TP−GW,21,1.6666666666666667,0.9421586165475926,2.391174716785741,4.798574349686965,20,0.00010936674751719015,1.0471347707292389,0.0006562004851031409,0.0006562004851031409
Stand behind message: ED−GW,21,1.380952380952381,0.5994456484693601,2.1624591134354016,3.6859774450426968,20,0.0014642552642158617,0.804346221514671,0.004392765792647585,0.00878553158529517
