contrast,n,estimate,ci_low,ci_high,t,df,p,cohens_dz,p_holm,reject_holm,p_bonferroni
Thought Partner − Ghost-writer,21,1.3492063492063493,0.635138771686252,2.0632739267264464,3.9413568349338166,20,0.0008068956308109045,0.8600745731864659,0.0013529747205431259,True,0.001613791261621809
Editor − Ghost-writer,21,1.1746031746031746,0.5646140902326948,1.7845922589736545,4.016759233967764,20,0.0006764873602715629,0.8765287256223863,0.0013529747205431259,True,0.0013529747205431259
Thought Partner − Editor  [exploratory],21,0.1746031746031747,-0.12741133463207865,0.47661768383842806,1.2059547765471659,20,0.2419083402398816,0.26316090705814016,,,
